recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,aperiodic_frontal,aperiodic_posterior,aperiodic_wholehead,n_frontal,n_posterior
sub-09@loc-300,ds004541,sub-09,ok,,62,1000,30000,1.194657754,1.767881126,2.030433526,14,17
sub-09@loc-240,ds004541,sub-09,ok,,62,1000,30000,1.216323085,1.955927567,2.177481464,14,17
sub-09@loc-180,ds004541,sub-09,ok,,62,1000,30000,1.983331031,2.152087676,2.243081899,14,17
sub-09@loc-120,ds004541,sub-09,ok,,62,1000,30000,2.091573829,2.037302666,2.348525177,14,17
sub-09@loc-60,ds004541,sub-09,ok,,62,1000,30000,2.427835655,2.565583526,2.889345769,14,17
sub-09@loc-30,ds004541,sub-09,ok,,62,1000,30000,2.467590487,2.524524195,2.817062957,14,17
sub-09@loc+30,ds004541,sub-09,ok,,62,1000,30000,2.502473754,2.2311087,2.183372131,14,17
sub-09@loc+60,ds004541,sub-09,ok,,62,1000,30000,1.898482064,2.214599052,2.32852771,14,17
sub-09@loc+120,ds004541,sub-09,ok,,62,1000,30000,2.286429646,2.269532164,2.462183073,14,17
sub-09@loc+180,ds004541,sub-09,ok,,62,1000,30000,2.403044541,2.456586234,2.707129446,14,17
sub-09@loc+240,ds004541,sub-09,ok,,62,1000,30000,2.345811473,2.34307125,2.556653846,14,17
sub-09@loc+300,ds004541,sub-09,ok,,62,1000,30000,2.170456547,2.159444968,2.4538597,14,17
sub-09@roc-60,ds004541,sub-09,ok,,62,1000,30000,2.396412666,2.272856937,2.494299714,14,17
sub-09@roc+60,ds004541,sub-09,ok,,62,1000,30000,1.975990103,1.947820035,2.397762228,14,17
sub-10@baseline,ds004541,sub-10,ok,,62,1000,30000,1.285963499,1.30239462,1.832143229,14,17
sub-10@start-180,ds004541,sub-10,ok,,62,1000,30000,1.226660212,1.628772654,2.013220014,14,17
sub-10@start-120,ds004541,sub-10,ok,,62,1000,30000,1.026706334,0.9862069662,1.446618773,14,17
sub-10@start-60,ds004541,sub-10,ok,,62,1000,30000,1.239817189,1.291030716,1.715132901,14,17
sub-10@loc-300,ds004541,sub-10,ok,,62,1000,30000,1.177573806,1.208212253,1.641058853,14,17
sub-10@loc-240,ds004541,sub-10,ok,,62,1000,30000,1.405834495,1.117895814,1.659623716,14,17
sub-10@loc-180,ds004541,sub-10,ok,,62,1000,30000,1.280255855,1.100991919,1.707103237,14,17
sub-10@loc-120,ds004541,sub-10,ok,,62,1000,30000,1.097161593,1.273805199,1.747769568,14,17
sub-10@loc-60,ds004541,sub-10,ok,,62,1000,30000,1.778246908,1.537254553,1.910622694,14,17
sub-10@loc-30,ds004541,sub-10,ok,,62,1000,30000,1.747358693,1.685741442,1.953703765,14,17
sub-10@loc+30,ds004541,sub-10,ok,,62,1000,30000,2.076112413,1.944278215,2.226457456,14,17
